Rank,Word,Frequency,POS
"1","ติดต่อ","contact, v. (communicate)",""
"5","ร่วมสมัย","contemporary",""
"6","บริบท","context",""
"2","สัญญา","contract, n.",""
"2","สนทนา","converse",""
"3","ร่วมมือ","cooperate, (direct)",""
"4","ให้ความร่วมมือ","cooperate, (indirect)",""
"3","ประสานงาน","coordinate, v.",""
"7","แกนกลาง","core, (central)",""
"4","วิกฤติ","crisis",""
"6","บรรทัดฐาน","criteria",""
"2","วัฒนธรรม","culture, (society)",""
"4","เงินตรา","currency",""
"1","ข้อมูล","data",""
"5","ทศวรรษ","decade",""
"3","ปฏิเสธ","decline, (turn down)",""
"3","ลดลง","decline, (reduce)",""
"4","เสื่อม","decline, (degrade)",""
"7","อนุมาน","deduce",""
"2","แน่นอน","definite",""
"3","ปฏิเสธ","deny",""
"2","ออกแบบ","design, v.",""
"5","ลวดลาย","design, n. (pattern)",""
"2","อุปกรณ์","device",""
"4","กำจัด","dispose of",""
"2","เอกสาร","document, n.",""
"6","ยึดครอง","dominate",""
"4","ภายในประเทศ","domestic",""
"9","ฉบับร่าง","draft, n.",""
"3","ร่าง","draft, v.",""
"2","เศรษฐกิจ","economy",""
"4","ตัดต่อ","edit, v. (assemble)",""
"10","ตรวจแก้","edit, v. (refine)",""
"3","บรรณาธิการ","editor, (writing)",""
"2","เน้น","emphasize, (focus)",""
"5","เผชิญหน้า","encounter, v.",""
"6","การเผชิญหน้า","encounter, n.",""
"3","พลังงาน","energy",""
"6","มหึมา","enormous, (concrete)",""
"3","รับประกัน","ensure",""
"4","สภาพแวดล้อม","environment",""
"5","สมการ","equation",""
"5","ความผิดพลาด","error",""
"5","สถาปนา","establish",""
"9","ประมาณการณ์","estimate, v.",""
"5","เชื้อชาติ","ethnic",""
"5","วิวัฒนาการ","evolution",""
"4","ผู้เชี่ยวชาญ","expert, n.",""
"3","ส่งออก","export, v.",""
"3","ภายนอก","external",""
"4","อำนวยความสะดวก","facilitate",""
"3","ปัจจัย","factor, n.",""
"8","แฟ้มเอกสาร","file, n. (paper)",""
"6","แฟ้มข้อมูล","file, n. (computer)",""
"3","ยื่น","file, v.",""
"2","สุดท้าย","final, adj.",""
"4","ทางการเงิน","financial",""
"4","พยากรณ์","forecast",""
"4","ก่อตั้ง","found, v. (establish)",""
"3","มูลนิธิ","foundation, n. (organization)",""
"2","พื้นฐาน","foundation, n. (figurative)",""
"2","พื้นฐาน","fundamental",""
"3","โครงสร้าง","framework",""
"2","หน้าที่","function, n.",""
"3","กองทุน","fund, n.",""
"3","เพศ","gender",""
"2","รุ่น","generation, n. (conceptual)",""
"7","ชั่วคน","generation, n. (timespan)",""
"3","เป้าหมาย","goal",""
"1","ระดับ","grade, n. (quality)",""
"3","รับรอง","guarantee, v.",""
"7","สมมุติฐาน","hypothesis",""
"4","เอกลักษณ์","identity",""
"6","อุดมคติ","ideology",""
"4","ผิดกฎหมาย","illegal",""
"5","ภาพลักษณ์","image, n. (popular conception)",""
"1","ภาพ","image, n. (picture)",""
"3","ผลกระทบ","impact, n. (effect)",""
"4","ส่งผลกระทบ","impact, v. (have effect)",""
"7","แรงกระแทก","impact, n. (physical force)",""
"2","รายได้","income",""
"1","บุคคล","individual, n.",""
"6","รายบุคคล","individual, adj.",""
"7","อย่างหลีกเลี่ยงไม่ได้","inevitably",""
"5","เงินเฟ้อ","inflation, (economics)",""
"5","เริ่มแรก","initial, adj.",""
"5","ริเริ่ม","initiate",""
"4","บาดเจ็บ","injured, adj.",""
"4","นวัตกรรม","innovation",""
"2","ตรวจ","inspect",""
"2","สถาบัน","institute, n.",""
"5","ไม่เพียงพอ","insufficient",""
"6","ข่าวกรอง","intelligence, n. (information)",""
"9","เชาวน์ปัญญา","intelligence, n. (ability)",""
"1","ภายใน","internal",""
"2","ลงทุน","invest, v. (finance)",""
"2","ตรวจสอบ","investigate",""
"2","ประเด็น","issue, n. (topic)",""
"4","วารสาร","journal",""
"3","แรงงาน","labor, n.",""
"6","ถูกกฎหมาย","legal, (not illegal)",""
"7","เสรีนิยม","liberal, adj. (politics)",""
"6","ตรรกะ","logic",""
"2","ยืนยัน","maintain, (confirm)",""
"2","รักษา","maintain, (preserve)",""
"4","สื่อมวลชน","media, n. (mass media)",""
"2","สื่อ","media, n. (pl. of medium)",""
"3","แพทย์","medical",""
"5","ทางจิต","mental, adj. (of the mind)",""
"2","วิธีการ","method",""
"4","ขั้นต่ำ","minimum",""
"2","กระทรวง","ministry, n. (government)",""
"6","ญัตติ","motion, n. (politics)",""
"9","เหตุจูงใจ","motive",""
"2","เครือข่าย","network",""
"2","ปกติ","normal",""
"3","แนวคิด","notion",""
"6","ปรมาณู","nuclear",""
"3","วัตถุประสงค์","objective",""
"6","ยึดครอง","occupy",""
"2","เกิดขึ้น","occur",""
"3","ทางเลือก","option",""
"1","ผล","outcome",""
"4","ผลผลิต","output, n. (production)",""
"1","รวม","overall, adj.",""
"2","เข้าร่วม","participate",""
"3","ร้อยละ","percent",""
"2","นโยบาย","policy, (procedure)",""
"6","กรมธรรม์","policy, (insurance)",""
"3","ศักยภาพ","potential, n.",""
"5","คาดการณ์","predict",""
"5","อคติ","prejudice",""
"2","โครงการ","project, n.",""
"2","ส่งเสริม","promote",""
"3","สัดส่วน","proportion",""
"4","จิตวิทยา","psychology",""
"6","นักจิตวิทยา","psychologist",""
"4","ตีพิมพ์","publish, (print a written work)",""
"2","เผยแพร่","publish, (disseminate)",""
"5","อัตราส่วน","ratio",""
"5","ปฏิกิริยา","reaction",""
"4","ระบอบ","regime",""
"3","จดทะเบียน","register, v. (create an official record)",""
"3","ปฏิเสธ","reject, v.",""
"6","ผ่อนปรน","relax, (reduce)",""
"2","วิจัย","research",""
"3","ทรัพยากร","resource",""
"4","ตอบสนอง","respond",""
"1","จำกัด","restrict",""
"3","เปิดเผย","reveal",""
"2","รายได้","revenue",""
"5","การปฏิวัติ","revolution",""
"3","เส้นทาง","route",""
"6","ขอบข่าย","scope",""
"4","แสวงหา","seek",""
"3","คัดเลือก","select",""
"3","เพศ","sex, (gender)",""
"5","เพศสัมพันธ์","sex, (sexual relations)",""
"6","การจำลอง","simulation",""
"3","ที่ตั้ง","site",""
"2","แหล่ง","source, (general)",""
"5","แหล่งข่าว","source, (news)",""
"2","ระบุ","specify",""
"2","สภาพ","status, (condition)",""
"3","ฐานะ","status, (rank)",""
"5","ตรงไปตรงมา","straightforward",""
"6","ยุทธวิธี","strategy, (tactic)",""
"5","ความเครียด","stress, n.",""
"3","โครงสร้าง","structure, (framework)",""
"5","สิ่งก่อสร้าง","structure, (building)",""
"2","รูปแบบ","style, n.",""
"3","เพียงพอ","sufficient",""
"2","สรุป","summarize",""
"6","อุปทาน","supply, n. (economics)",""
"3","สำรวจ","survey, v.",""
"4","การสำรวจ","survey, n.",""
"3","สัญลักษณ์","symbol",""
"11","แถบบันทึก","tape, (cassette, native word)",""
"4","เทป","tape, (cassette, loan word)",""
"7","บันทึกเทป","tape, (record on cassette)",""
"3","เป้าหมาย","target, n.",""
"2","ทีม","team, (general)",""
"2","ทีมงาน","team, (work)",""
"2","เทคโนโลยี","technology",""
"3","ชั่วคราว","temporary",""
"10","แก่นเรื่อง","theme",""
"4","ทฤษฎี","theory",""
"6","ถ่ายโอน","transfer",""
"5","ส่งผ่าน","transmit",""
"3","ขนส่ง","transport, v.",""
"2","สูงสุด","ultimate, (highest)",""
"5","เครื่องแบบ","uniform, n.",""
"4","ยานพาหนะ","vehicle, (motor)",""
"5","พาหนะ","vehicle, (general)",""
"3","ละเมิด","violate",""
"3","วิสัยทัศน์","vision, (foresight)",""
"3","อาสา","volunteer, v.",""
"4","อาสาสมัคร","volunteer, n.",""
"5","สวัสดิภาพ","welfare, (well-being)",""
"4","สวัสดิการ","welfare, (social program)",""
